#|16|Sources|Part 6 concluded. All URLs accessed 31 August 2026 unless otherwise stated.
###|Primary — PIMCO corporate and regulatory
SRC|Private credit AUM rankings (Apollo ~$600bn, Ares $464bn, Blackstone Credit $354bn, KKR $250bn, Oaktree $189bn, PIMCO $185bn, Blue Owl $175bn, HPS $148bn) — ctacquisitions.com "Top 30 Private Credit Firms in 2026". **Single commercial aggregator; explicitly flagged as indicative only in Table 10.1.**
SRC|BlackRock AUM US$15.34tn as of 30 June 2026; Vanguard ~US$12tn; Amundi €2.38tn (2025); industry totals ($139.9tn across the top 500 at end-2024) and active/passive crossover figures ($19.1tn passive vs $16.2tn active, October 2025) — investingintheweb.com, visbanking.com and related aggregators restating Willis Towers Watson and Morningstar research. **Verify against the primary studies before quoting.**
SRC|Schroders £867.8bn AUM with £8.3bn net outflows, H1 2026 — Investment Week and Professional Pensions.
SRC|M&G plc £371bn AUMA, Q1 2026 — Investegate / M&G RNS announcement.
SRC|LGIM US$1.617tn global AUM as of 30 June 2026 — am.landg.us.com. Aviva Investors £234bn (2024) — Wikipedia; **stale, flagged in Table 10.1**.
SRC|Christian Stracke's EMEA remit and Kimberley Stafford's Product Strategy role — corroborated against Pensions & Investments and PIMCO's own expert pages.
SRC|Allianz investor-presentation figures for PIMCO standalone operating profit (~USD 2.7bn) and ~16% of Allianz Group operating profit — retrieved via secondary summaries of Allianz IR material; **could not be verified in a primary document and flagged accordingly in Section 6.5.**
###|Sources sought but not obtained
SRC|PIMCO ETF Quicksheet (per-ETF fees and assets) — the document URL surfaced in search returned HTTP 404.
SRC|PIMCO Europe Ltd FY2025 statutory accounts — obtained from Companies House but filed as a scanned image with no text layer; no OCR tooling was available in the research environment.
SRC|PDI and PDO management fee rates; PIMCO AUM split by client type; PIMCO private fund fee schedules; London office headcount; current named Head of EMEA. All listed with lookup instructions in Table 14.1.
HR
P|_Report compiled 31 August 2026. Research conducted the same day; every figure carries the as-of date of its source rather than the date of writing. Where PIMCO's own materials disagree with each other — office count, London address, alternatives AUM basis — both versions are shown in the text with a judgement on which to use._
